AnalysisID,StationID,ContaminationLevel,AnalysisTime,AQI,Advice
1,1,重度污染,2024-10-01 13:00:00,283.00,儿童、老年人及心脏病、肺病患者应停留在室内，停止户外运动，一般人群减少户外运动
2,1,优,2024-10-02 13:00:00,47.00,各类人群可正常活动
3,1,中度污染,2024-10-03 13:00:00,184.00,儿童、老年人及心脏病、呼吸系统疾病患者避免长时间、高强度的户外锻炼，一般人群适量减少户外运动
4,1,中度污染,2024-10-04 13:00:00,167.00,儿童、老年人及心脏病、呼吸系统疾病患者避免长时间、高强度的户外锻炼，一般人群适量减少户外运动
5,1,轻度污染,2024-10-05 13:00:00,134.00,儿童、老年人及心脏病、呼吸系统疾病患者应减少长时间、高强度的户外锻炼
6,2,重度污染,2024-10-01 13:00:00,210.00,儿童、老年人及心脏病、肺病患者应停留在室内，停止户外运动，一般人群减少户外运动
7,2,轻度污染,2024-10-02 13:00:00,129.00,儿童、老年人及心脏病、呼吸系统疾病患者应减少长时间、高强度的户外锻炼
8,2,轻度污染,2024-10-03 13:00:00,131.00,儿童、老年人及心脏病、呼吸系统疾病患者应减少长时间、高强度的户外锻炼
9,2,重度污染,2024-10-04 13:00:00,299.00,儿童、老年人及心脏病、肺病患者应停留在室内，停止户外运动，一般人群减少户外运动
10,2,重度污染,2024-10-05 13:00:00,253.00,儿童、老年人及心脏病、肺病患者应停留在室内，停止户外运动，一般人群减少户外运动
11,3,重度污染,2024-10-01 13:00:00,256.00,儿童、老年人及心脏病、肺病患者应停留在室内，停止户外运动，一般人群减少户外运动
12,3,重度污染,2024-10-02 13:00:00,252.00,儿童、老年人及心脏病、肺病患者应停留在室内，停止户外运动，一般人群减少户外运动
13,3,重度污染,2024-10-03 13:00:00,294.00,儿童、老年人及心脏病、肺病患者应停留在室内，停止户外运动，一般人群减少户外运动
14,3,良,2024-10-04 13:00:00,58.00,极少数异常敏感人群应减少户外活动
15,3,轻度污染,2024-10-05 13:00:00,130.00,儿童、老年人及心脏病、呼吸系统疾病患者应减少长时间、高强度的户外锻炼
16,4,中度污染,2024-10-01 13:00:00,182.00,儿童、老年人及心脏病、呼吸系统疾病患者避免长时间、高强度的户外锻炼，一般人群适量减少户外运动
17,4,重度污染,2024-10-02 13:00:00,239.00,儿童、老年人及心脏病、肺病患者应停留在室内，停止户外运动，一般人群减少户外运动
18,4,优,2024-10-03 13:00:00,29.00,各类人群可正常活动
19,4,良,2024-10-04 13:00:00,70.00,儿童、老年人及心脏病、肺病患者应停留在室内，停止户外运动，一般人群减少户外运动
20,4,轻度污染,2024-10-05 13:00:00,126.00,儿童、老年人及心脏病、呼吸系统疾病患者应减少长时间、高强度的户外锻炼
21,5,重度污染,2024-10-01 13:00:00,238.00,儿童、老年人及心脏病、肺病患者应停留在室内，停止户外运动，一般人群减少户外运动
22,5,中度污染,2024-10-02 13:00:00,198.00,儿童、老年人及心脏病、呼吸系统疾病患者避免长时间、高强度的户外锻炼，一般人群适量减少户外运动
23,5,中度污染,2024-10-03 13:00:00,186.00,儿童、老年人及心脏病、呼吸系统疾病患者避免长时间、高强度的户外锻炼，一般人群适量减少户外运动
24,5,良,2024-10-04 13:00:00,86.00,极少数异常敏感人群应减少户外活动
25,5,轻度污染,2024-10-05 13:00:00,148.00,儿童、老年人及心脏病、呼吸系统疾病患者应减少长时间、高强度的户外锻炼
26,6,重度污染,2024-10-01 13:00:00,272.00,儿童、老年人及心脏病、肺病患者应停留在室内，停止户外运动，一般人群减少户外运动
27,6,中度污染,2024-10-02 13:00:00,198.00,儿童、老年人及心脏病、呼吸系统疾病患者避免长时间、高强度的户外锻炼，一般人群适量减少户外运动
28,6,良,2024-10-03 13:00:00,71.00,极少数异常敏感人群应减少户外活动
29,6,优,2024-10-04 13:00:00,43.00,各类人群可正常活动
30,6,重度污染,2024-10-05 13:00:00,290.00,儿童、老年人及心脏病、肺病患者应停留在室内，停止户外运动，一般人群减少户外运动
